Context,Keyword,Page_Number
"1. The number of full-time positions and dollar amount for total regular staff, temporary staff and overtime by Department.

2. The dollar amount for supplies and services (category) for each Department.

3. Each specific capital request, including startup cost and ongoing maintenance.

4. The total expenditure from each fund, including transfers in and out.

5. The Commissioners will approve specific contracts per the Procurement Code.",General,7
"As the result of a natural disaster, accident or unforeseen event, the County will follow the Emergency Declaration enacted by the Commissioners.",Emergencies,7
"The Staff may submit requests to amend the approved budget during the year. Additional requests will be made only after the Staff has determined no savings exist that could be transferred. Departments will provide information to the Commissioners during regular Commissioners’ meetings. Departments may not expend funds until after the Commissioners have approved the expenditure. The Finance Department will prepare an appropriation resolution officially amending the budget. Departments may expend funds after Commissioners approval and before adoption of the appropriation resolution.

a. Transfer of Existing Budget – The County Manager may approve transfer of budget between categories and Departments within a fund.

b. Transfers Between Categories and Programs – Department Directors may request County Manager approval to transfer budget between categories within a department. The Manager will review requests to ensure compliance with the goals and objectives of the annual budget as approved by the Commissioners.",Amending the Approved Budget,7
"During the budget year, some expenditure savings can be realized by Departments. Commissioners encourage these efforts and as an incentive may approve policies relating to savings.",Budget Savings,7
"Some of the costs of the County could be influenced by other Governments, either because of duplication of services or mandates imposed by State and Federal Governments.",Intergovernmental Budgets,7
"The County will budget expenditures for grant-funded programs only after grant award or letter of commitment and only for the grant amount. County overhead or indirect costs for grant-funded programs will be included in all grant proposals, where permitted. All grants will be reviewed for long-term impacts on the County.",Payment of Services,7
"2. Outside Involvement – The County will aggressively oppose State or Federal actions that mandate expenditures the Commissioners consider unnecessary. The County will purse intergovernmental funding to support the incremental cost of those mandates.

3. Intergovernmental Agreements – The County will work with other governments to identify the jurisdiction most capable and appropriate to provide specific public services. When the County cannot transfer responsibility for service delivery, it will consider intergovernmental agreements and contracts for service delivery.",General,8
"Introduction
The County will maintain a system of financial management, control and reporting for all operations, departments, and funds to support overall County goals and objectives. This system will be used to instill confidence in the County’s citizens that the County is well managed and fiscally sound.

Policies
The accounting, auditing and financial reporting systems for the County will be based on the following policies:

1. General Accepted Accounting Principles (GAAP) – The County will maintain its account records and report on its financial condition and results of operations in accordance with State and Federal laws and regulations, and GAAP.

2. Independent Audit – An independent firm of certified public accountants will annually perform a financial and compliance audit of the County’s financial statements. Their opinions will be contained in the County’s Comprehensive Annual Financial Report (CAFR), and the Report on Compliance with the Single Audit Act of 1984, if required based on Federal funding levels.

3. Internal Auditing – To complete a full range of audit services, the County’s Finance Department will supervise performance audits which review cash management, revenues, expenditures, purchasing and other areas that have impact on the County’s budget.

4. Accounting Internal Controls – The County will maintain an internal control structure consisting of three elements:

   a. Control Environment – Consisting of an “overall attitude and awareness of actions” as the influence the County. The management and staff shall consider all the financial implications of decisions, both current and long-term.","III. ACCOUNTING, AUDITING & FINANCIAL REPORTING POLICIES",8
"b. Accounting System – An effective accounting system will result in the following:

1. Identification and recording of all valid transactions.
2. Description on a timely basis of the type of transaction in sufficient detail to permit proper classification of the transaction for reporting purposes.
3. Recording the transaction in the correct time period.
4. Proper presentation of all transactions and related disclosures in the financial statements.

c. Control Procedures – Consists of the following:

1. Proper authorization of transactions and activities.
2. Adequate segregation of duties.
3. Adequate documents and records.
4. Adequate safeguards regarding access and use of assets and records.
5. Independent checks on performance.",General,9
"All County funds and operations must work to achieve the County’s mission and goals.

1. Number of Funds – The County will minimize the number of funds, Departments, programs and account codes. The funds will be categorized by standard GAAP functional classifications. The development of new funds, Departments, programs and accounts will be approved by the Finance Department.

2. Statement of Purpose – Each fund in the County will have a Statement of Purpose, consisting of the following:

1. Intent – Purpose(s) of the fund.
2. Revenue Restrictions – Source(s) of revenues to the fund and descriptions of restrictions.
3. Contingency – Amount and use of contingency, if any. Contingency levels shall be based on the uncertainties associated with the purposes of the fund or project.
4. Reserves – Amount and purpose of required reserves. Required reserves will be based on operating needs or debt needs and prudent management requirements.",A. Accounting Structure,9
3. Funding Subsidy – Funds that receive a fund subsidy in addition to fees and charges or dedicated revenues will include a rationale for the subsidy and a means for determining the annual level of that subsidy or conditions under which the subsidy should be eliminated.,General,10
"Financial reports will provide direction and guidance in several areas.

1. Budgetary Comparisons – Comparing actual financial results with the legally adopted budget.

2. Financial Condition and Results of Operation – Assessing the changes in fund balance because of operations.

3. Compliance – Assisting in determining compliance with finance related laws, rules and regulations.

4. Efficiency and Effectiveness – Assisting in evaluating management and staff in efficiency and effectiveness.

5. Director Reports – Department Directors will prepare reports at the end of June, September and November identifying the differences between actual and budget revenues and expenditures. This requirement is also included in the Budget Policies. Reports will identify the current and projected variance in budget, as well as progress on performance measures. These reports will be presented to the Commissioners and may be included in the Commissioners’ updates.",B. Financial Reporting,10
"The County will follow these policies related to check controls and the signing of checks:

1. Invoice Controls – All invoices shall be mailed or emailed to the Department that holds the approved contract, professional services agreement, or spending authority. The vendor shall date, number and reference an approved contract, professional services agreement, or purchase order number on the invoice. Department staff will process and approve the invoice and include correct coding before getting their supervisor’s approval and submitting it to the Finance Department’s Accounts Payable.

2. Check Preparation – No check will be prepared for approval without an authorized purchase order, compliance with the procurement code and adequate budget unless specifically identified in these policies.

3. Check Requirements – In most cases the Staff will be required to complete the following steps to obtain a check:

   a. Budget – Adequate budget must exist before Staff considers a purchase.

   b. Invoices – Invoices are directed first to the Finance Department for entry into the account system cash flow.",C. Check Controls,10
"c. Department Approval – Invoices are approved by the Departments the items were received.

d. Contracts – Major purchases will require following the Procurement Code, which may include the Commissioners’ approval of the contract.",General,11
"Introduction
The County must consider its discretionary revenues as a group rather than in isolation. Both individual revenues and the total package must be viewed in the context of broader County goals. The County must be sensitive to the balance between the need for services and the County’s ability to raise fees, charges and taxes to support County services. As much as is possible and feasible, County services that provide private benefit should be paid by fees and charger to provide maximum flexibility in use of general taxes to meet the cost of broader public services.

Policies
Revenues and rates in the LRP and annual budget will be based on the following policies:

1. Specific Use of Services – Charges for services that benefit specific users should recover full costs, including all direct costs, indirect costs, depreciation on capital plant and equipment, and General Fund overhead. Departments that impose fees or service chargers should prepare and periodically update cost-of-service studies for each such service. Competing County policies may dictate a subsidy of a portion of the costs of such services.

2. Diversify Revenue – The County should strive to diversify its revenues to maintain needed services during periods of declining economic activity.

3. Recapture Investment – The revenue structure should be designed to recapture for the County some of the financial benefits resulting from County sponsored programs or Community investments.

4. Additional Resources – The County will observe the following priorities in obtaining resources:

a. Use Existing Resources Efficiently – The County will use, as efficiently as possible, all existing resources.

b. Collect Existing Revenues – The County will collect as efficiently as possible the resources to which it is already entitled. The County will minimize receivables and follow an aggressive policy of collecting receivables for services that must be billed.

c. Revenues are Consistent with County Goals – The County will seek new resources, consistent with the policies in this document and other County goals.",IV. REVENUE POLICIES,11
"5. Consider Total Revenue Mix – The County will review revenue raising proposals considering its total revenue mix, to encourage economic stability and keep the County competitive.
   a. County Revenues Impact – As part of the annual financial forecast or budget process, major revenue generating proposals will contain an evaluation of the impact on the community.
   b. Review Total Community in Review – The evaluation should be based on prior year circumstances and includes all local taxation and fees.
   c. Review Every Five Years – At a minimum, such an evaluation shall be made at least once every five years.

6. Department Responsibility – Department Directors will inform the County Manager of any revenue that varies from the budget by $5,000 or 20%. Department Directors will provide notice immediately and in the identified reports to the County Manager and subsequently the Commissioners.

7. Use Proven Methods – The County will estimate its annual revenues by an objective, analytical process.

8. Use Five Year Plans – The County will annually project revenues for the next five years.

9. Enterprise Funds Recover Costs – The County will set fees, user charges and other revenues for each enterprise fund at a level that supports the total direct and indirect cost of the activity. Indirect costs include the cost of annual replacement needs due to depreciation of capital assets. Cost related to growth will be paid for by the growth.",General,12
"Introduction
When the other Financial Policies fail to address a specific issue, general operating policies will be reviewed for direction. In some cases, these policies repeat what has already been stated in other areas, but that is only to emphasize the importance and value of that policy. The County must contain its expenditures to current revenues, establish and adequately fund reserves, regularly monitor, and report on budget performance, evaluate the fiscal impact of new proposals, operate as efficiently as possible, and constantly review County services for appropriateness and effectiveness.",V. OPERATING POLICIES,12
"The County will follow the following operating policies:

1. **Current Revenues to Pay for Current Expenditures** – Current revenues will exceed current expenditures. Each County fund budget must identify ongoing resources that at least match expected ongoing annual requirements. One time cash transfers and ending balances, in excess of reserves, may be applied to reserves or to fund one-time expenditures; they will not be used to fund on-going programs.

2. **Do Not Restrict Revenues** – The County will earmark discretionary revenues for specific purposes. This practice will preserve the ability of the Commissioners to determine the best use of available revenues to meet changing service requirements.

3. **Reserves** – The County will establish reserves for emergencies, unforeseen needs of a nonrecurring nature, operating maintenance, equipment replacement and capital projects. The nature of reserves for specific funds will be spelled out in the State of Purpose for each fund.

4. **Financial Controls** – The Staff will maintain a system of financial monitoring and control. The major components of this system include:
   
   a. **Fiscal Impact Analysis** – The Staff will perform a fiscal impact analysis of each significant administrative or legislative action impacting the County.
   
   b. **Financial Accounting System and Periodic Status Report** – The Staff will prepare financial status reports on the revenues and expenditures to date and estimated yearend balances as described in the Budget Policies.
   
   c. **Budget Controls** – The Finance Department will maintain a system of budgetary controls. These controls will assist Department Directors in identifying actual to budget variances.

5. **Review of Efficiency and Effectiveness** – The County will continually review the efficiency and effectiveness of its services to reduce costs and improve service quality. This will include a review of all existing administrative procedures and software to eliminate exception-based procedures, policies implemented to avoid compliance, special interest projects or programs that benefit less than the majority.

6. **Recover Cost of Providing Services** – County operations will be run on a basis devoted to increasing efficiency of service delivery or recover the cost of providing the service by a user fee or charge.

7. **Cash Reserves** – The County will maintain cash reserves to avoid borrowing for general operating purposes.",Policies,13
"The County will maintain accurate inventories of capital assets, their condition, life span and cost.",Inventories,14
"The Staff will develop, maintain and constantly seek to improve cash management systems, which ensure the accurate and timely account, investment, and security of all cash assets. All cash received by the County Departments will be deposited to the Cashier daily.",Cash Management Systems,14
The County must review programs periodically to reduce needless competition with other public and private providers and to ensure the most cost effective and efficient provision of services. The County will encourage competition with privatization by comparing the cost of providing services.,Competition and the Service Provided,14
An effective and comprehensive periodic Citizen Service needs assessment will be conducted to ensure County service priorities keep pace with the dynamic needs of the Community. The result of this needs assessment will be approved by the Commissioners and may become an integral part of the budget and financial planning of the County.,Citizen Input,14
The County will avoid paying utility bills for any other organization to encourage conservation.,Utility Conservation,14
Department Directors will prepare all budget proposals for expenses in their departments. Utility expenses will be proposed by Department Directors. Savings or excess budget in utilities is restricted and will not be used of other expenditures without the prior approval of the Manager. The entire utility budget will be encumbered on purchase orders in the first month of each year.,Budget Preparation,14
Loans made between funds will not be charged interest.,Internal Loans,14
See the County’s Procurement Code.,Procurement,14
"The County is committed to professional and progressive leadership. To maintain our position as leaders in the Community and region, it may be beneficial to provide training for the Commissioners or Planning Commission regarding key management and or technical issues. Travel for these members will be included in the annual budget.",Education and Training for Commissioners and Statutory Boards,14
"Introduction
The Capital Improvement Plan (CIP) has a significant impact on the image of the County. The following policies are designed to guarantee current and future projects are maintained at a quality level and capital projects do not restrict the County’s ability to provide basic services. The County must preserve its current physical assets and plan in an orderly manner for future capital investments, including operating costs associated with these projects. In addition to amenity improvements, the County must make the capital investment needed to support and enhance the delivery of basic services. This commitment becomes even more important because the demands for basic services biases funding priorities toward the operating services (sheriff’s office and recreation programs) versus infrastructure (streets and buildings), which could be an issue in the future. Capital expenditures include buildings, land, major equipment and other items which are of significant value and have a life greater than five years.

Policies
The planning, funding and maintenance of all capital projects will be based on the following policies:

1. **Bond Rating** – The County will maintain a strong bond rating consistent with other County goals. The County will maintain good communications with bond rating agencies about its financial condition. The County will follow a policy of full disclosure on every financial report and bond prospectus.

2. **Five Year Capital Plans** – Each Department with capital expenditures will develop and maintain five-year capital plans. This plan will include sources of funding and maintenance.

3. **Citizen Involvement** – The CIP development process will provide for the full participation of any Citizen and or Committee appointed by Commissioners.

4. **Details of the Plan** – The County will prepare, adopt and update annually a County five-year CIP that identifies Department needs for capital replacement and additions. The CIP lists all anticipated capital expenditures, total estimated cost, the year in which it will be started, the amount expected to be expended in each year, and the proposed method of financing these expenditures. Methods of financing can include bonding, assessment of districts, pay-as-you-go (taxes, current revenues, cash balances), or others.

5. **Include Future Maintenance** – As a part of the annual Capital Budget, the County will identify and include full costs of future maintenance needs and operating costs of new capital facilities and equipment prior to funding as part of the annual Capital Budget. It is essential to recognize many smaller projects can have a significant impact on the existing Staff and maintenance levels when you consider the total impact. All capital projects will identify the maintenance requirements in terms of staffing (hours per week) and supplies and services.",VI. CAPITAL PLANNING & BUDGET POLICIES,15
The Staff will identify the estimated costs and potential funding sources for each capital project proposal before it is submitted to Commissioners for approval. This proposal will include capital construction as well as ongoing maintenance.,Identify Project Funding,16
"The County will develop an AMP that protects capital investments and will minimize future maintenance and replacement costs. The County will maintain accurate information on the condition, life span use and replacement cost of their capital assets to assist in long term planning. The AMP will also indicate future major repairs and their costs, utility costs and other operating costs.

a. Equipment Replacement – The County will estimate its equipment replacement (items over $10,000 with a life greater than one year) and maintenance needs for the next five years, with updated projections each year. From this projection, a maintenance and replacement schedule will be developed and followed.

b. Cash for Equipment – Equipment replacement should be financed on a pay-as-you-go basis. Equipment should be replaced on a useful life basis considering optimum trade in value and maintenance costs.",Asset Management Plan (AMP),16
"The budget will provide sufficient funding for adequate maintenance and scheduled replacement and enhancement of capital plant and equipment. Whenever the Amp identifies there is a significant discrepancy between the need to maintain/modernize County infrastructure of facilities and the funds available for such improvements, the Staff will prepare and present to strategies for meeting this need to the Commissioners. The LRP of the County will include all costs identified in the AMP.",Planned Funding,16
"Although the annual operating budget should provide for adequate maintenance of capital plant and equipment, it is possible that even if this maintenance is provided a major expenditure will be required. It is appropriate to consider these types of major expenditures when developing the CIP.",Renovation,16
"In general, the following guidelines will be used to identify capital priorities: safety, completing existing projects, maintaining of existing capital facilities, extensions of existing systems and new projects. Maintenance should be given priory over acquisition of new facilities unless a cost-benefit analysis indicates the contrary. State, Federal and Local mandates or new service demands may require acquisition of new facilities or new construction even when maintenance needs are not fully met. Unique opportunities may arise, which should be considered as a priority, particularly if there is Community support for acquisition. Maintenance of facilities should take priority over operating programs if deferring maintenance will result in great costs to restore or replace neglected facilities.",Capital Priority,16
The County will identify the ongoing costs and benefits that may be associated with each capital project to determine its effect on other County policies and the Community.,Impact on County Policies and Community,16
"Assessment district financing is appropriate for those areas of the County that are retroactively installing physical plant features which are normally required by subdivision standards at the time of development, or which have been funded by another assessment district. Such physical plant features include curbs, gutters, sidewalks, streetlights, and sewers. Assessment districts are also appropriate in cases where these types of physical plant features are being upgraded for the benefit of property owners in the area. Unless otherwise directed by the Commissioners, assessment districts will include all costs associated with the project, including overhead and indirect costs, including but not limited to financing, and administrative costs. The County will take actions to ensure financial risks to the County are minimized.",Alternate Funding,17
"A liability that places a future contractual or other obligation against future revenues of the County. For example, long term debt includes liabilities arising from bonds, lease purchase agreements and installment purchase contracts.

- **Use of Capital** – The County will confine long-term borrowing to capital improvements or projects that cannot be financed from current revenues.

- **Life of Bonds Not to Exceed 75% of Project Life** – When the County finances capital projects by issuing bonds, it will pay back the bonds within a period not to exceed 75% of the expected useful life of the project.

- **Debt Restrictions** – The County will not use long-term debt for current or annual operations.

- **Legal Debt Limits** – The County will review its legal debt limitation established by the State Charter at least annually. Debt limits will be included in the statistics sections of the Financial Plan and Financial Report.",Long Term Debt,17
